Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,3.84E-02,1.85E-02,1.17E-02,3.88E-03,1.65E-03,4.89E-04,3.44E-03,2.05E-02,9.53E-03,5.11E-03,2.49E-03,6.10E-04,2.45E-04,7.56E-04
Breast ,1980,2005,100,60,Canada,3.59E-02,1.45E-02,1.05E-02,2.24E-03,2.29E-03,8.71E-04,4.47E-03,1.96E-02,7.10E-03,4.67E-03,1.50E-03,9.95E-04,4.46E-04,1.77E-03
2001 CanCHEC,2001,2011,50,53,Canada,2.65E-02,8.38E-03,5.77E-03,1.45E-03,1.53E-03,5.59E-04,3.70E-03,1.63E-02,4.33E-03,2.61E-03,1.01E-03,1.02E-03,3.47E-04,2.15E-03
1991 CanCHEC,1991,2006,50,54,Canada,3.30E-02,1.24E-02,8.84E-03,2.00E-03,2.06E-03,7.60E-04,4.28E-03,1.86E-02,6.13E-03,3.91E-03,1.35E-03,1.05E-03,4.17E-04,1.97E-03
CCHS,2001,2011,54,56,Canada,2.65E-02,8.38E-03,5.77E-03,1.45E-03,1.53E-03,5.59E-04,3.70E-03,1.63E-02,4.33E-03,2.61E-03,1.01E-03,1.02E-03,3.47E-04,2.15E-03
China,1990,2005,0,63,China,6.03E-02,2.40E-02,5.79E-03,1.44E-02,1.35E-02,9.18E-04,3.90E-03,4.11E-02,1.79E-02,4.12E-03,1.04E-02,9.55E-03,6.98E-04,1.53E-03
ESCAPE - DCH,1995,2010,54,65,Denmark,3.74E-02,1.38E-02,8.52E-03,3.12E-03,3.19E-03,8.24E-04,4.40E-03,2.45E-02,7.22E-03,3.81E-03,2.17E-03,2.92E-03,5.51E-04,2.60E-03
English,2003,2007,52,62,England,3.06E-02,1.14E-02,7.22E-03,2.18E-03,2.22E-03,1.13E-03,3.41E-03,1.93E-02,6.14E-03,3.15E-03,1.65E-03,1.59E-03,8.00E-04,1.90E-03
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,3.56E-02,1.48E-02,9.73E-03,2.70E-03,2.62E-03,1.39E-03,4.00E-03,2.17E-02,7.91E-03,4.38E-03,2.06E-03,1.66E-03,9.78E-04,1.96E-03
ESCAPE - FINRISK,1992,2008,54,56,Finland,3.75E-02,1.88E-02,1.30E-02,3.52E-03,1.80E-03,1.14E-03,3.68E-03,1.80E-02,8.17E-03,4.87E-03,2.19E-03,4.24E-04,4.94E-04,6.87E-04
France,1989,2013,27,56,France,2.90E-02,8.95E-03,4.74E-03,2.13E-03,1.12E-03,7.54E-04,3.43E-03,1.30E-02,3.95E-03,1.68E-03,1.22E-03,3.87E-04,3.09E-04,5.09E-04
ESCAPE - E3N,1991,2008,100,62,France,3.02E-02,9.44E-03,5.01E-03,2.24E-03,1.18E-03,7.86E-04,3.55E-03,1.34E-02,4.14E-03,1.76E-03,1.28E-03,4.06E-04,3.22E-04,5.00E-04
ESCAPE - SALIA,1985,2010,38,67,Germany,3.91E-02,1.76E-02,1.18E-02,3.47E-03,2.08E-03,8.07E-04,3.94E-03,2.07E-02,9.07E-03,5.20E-03,2.27E-03,7.43E-04,3.87E-04,8.03E-04
ESCAPE - KORA,1997,2007,51,55,Germany,3.51E-02,1.48E-02,9.52E-03,2.81E-03,1.80E-03,8.39E-04,3.79E-03,1.83E-02,7.32E-03,4.06E-03,1.73E-03,7.17E-04,3.95E-04,8.57E-04
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,3.14E-02,1.40E-02,8.18E-03,4.42E-03,9.28E-04,6.55E-04,4.63E-03,1.76E-02,8.65E-03,4.00E-03,3.61E-03,5.60E-04,3.71E-04,6.98E-04
Rome,2001,2010,50,55,Italy,2.73E-02,9.08E-03,4.97E-03,2.26E-03,1.25E-03,3.86E-04,3.86E-03,1.37E-02,4.54E-03,1.99E-03,1.40E-03,3.93E-04,1.79E-04,7.07E-04
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,3.13E-02,1.10E-02,6.07E-03,2.82E-03,1.48E-03,3.95E-04,4.38E-03,1.56E-02,5.63E-03,2.49E-03,1.79E-03,4.24E-04,1.82E-04,7.18E-04
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,3.04E-02,1.06E-02,5.81E-03,2.67E-03,1.42E-03,3.93E-04,4.29E-03,1.51E-02,5.34E-03,2.36E-03,1.68E-03,4.15E-04,1.80E-04,7.18E-04
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,3.04E-02,1.06E-02,5.81E-03,2.67E-03,1.42E-03,3.93E-04,4.29E-03,1.51E-02,5.34E-03,2.36E-03,1.68E-03,4.15E-04,1.80E-04,7.18E-04
DUELS,2004,2011,52,63,Netherlands,2.90E-02,9.06E-03,5.07E-03,1.93E-03,2.00E-03,1.08E-03,4.57E-03,1.64E-02,4.48E-03,2.02E-03,1.31E-03,1.19E-03,5.42E-04,1.70E-03
Dutch,1987,1996,51,66,Netherlands,4.47E-02,1.91E-02,1.25E-02,3.63E-03,3.48E-03,8.92E-04,6.95E-03,2.06E-02,8.56E-03,4.86E-03,2.31E-03,9.55E-04,4.36E-04,8.05E-04
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,3.61E-02,1.33E-02,8.02E-03,2.72E-03,2.73E-03,1.13E-03,5.57E-03,1.87E-02,6.35E-03,3.23E-03,1.81E-03,1.20E-03,5.76E-04,1.39E-03
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,3.61E-02,1.33E-02,8.02E-03,2.72E-03,2.73E-03,1.13E-03,5.57E-03,1.87E-02,6.35E-03,3.23E-03,1.81E-03,1.20E-03,5.76E-04,1.39E-03
ESCAPE - HUBRO,2000,2010,56,53,Norway,2.84E-02,1.08E-02,6.73E-03,2.26E-03,1.87E-03,7.48E-04,2.99E-03,1.62E-02,4.94E-03,2.53E-03,1.43E-03,1.32E-03,4.18E-04,1.53E-03
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,2.64E-02,1.11E-02,7.05E-03,2.12E-03,1.06E-03,4.76E-04,2.07E-03,1.59E-02,5.22E-03,2.83E-03,1.38E-03,9.27E-04,2.60E-04,1.27E-03
ESCAPE - SALT,2000,2010,56,63,Sweden,2.68E-02,1.14E-02,7.25E-03,2.18E-03,1.07E-03,4.84E-04,2.09E-03,1.61E-02,5.34E-03,2.90E-03,1.42E-03,9.21E-04,2.64E-04,1.26E-03
ESCAPE - Sixty,1997,2010,52,67,Sweden,2.79E-02,1.23E-02,7.92E-03,2.33E-03,1.09E-03,5.08E-04,2.12E-03,1.64E-02,5.68E-03,3.13E-03,1.50E-03,8.92E-04,2.73E-04,1.21E-03
ESCAPE - SDPP,2004,2010,62,50,Sweden,2.53E-02,1.03E-02,6.47E-03,1.97E-03,1.01E-03,4.55E-04,2.02E-03,1.55E-02,4.86E-03,2.61E-03,1.28E-03,9.32E-04,2.51E-04,1.31E-03
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,2.86E-02,1.06E-02,6.82E-03,1.90E-03,1.56E-03,5.65E-04,3.59E-03,1.43E-02,4.60E-03,2.53E-03,1.16E-03,5.33E-04,2.72E-04,8.81E-04
Taipei,1989,2008,43,51,Taiwan,3.63E-02,1.19E-02,4.98E-03,5.28E-03,1.12E-03,1.42E-03,3.40E-03,2.51E-02,8.22E-03,2.85E-03,4.14E-03,4.53E-04,9.33E-04,1.32E-03
AARD,2000,2009,41,71,USA,3.13E-02,1.12E-02,7.68E-03,1.76E-03,2.46E-03,9.40E-04,4.09E-03,2.10E-02,6.67E-03,4.07E-03,1.39E-03,1.84E-03,6.53E-04,2.44E-03
NHIS,1986,2001,44,51,USA,3.92E-02,1.66E-02,1.19E-02,2.29E-03,2.75E-03,1.17E-03,4.96E-03,2.36E-02,9.14E-03,5.92E-03,1.72E-03,1.57E-03,6.68E-04,2.28E-03
ACS,1982,2004,56,66,USA,3.88E-02,1.64E-02,1.17E-02,2.27E-03,2.73E-03,1.16E-03,4.90E-03,2.34E-02,9.03E-03,5.84E-03,1.71E-03,1.57E-03,6.66E-04,2.27E-03
NHS,2000,2006,100,64,USA,3.26E-02,1.20E-02,8.22E-03,1.86E-03,2.53E-03,9.71E-04,4.27E-03,2.16E-02,7.08E-03,4.36E-03,1.46E-03,1.86E-03,6.70E-04,2.48E-03
CTS,2000,2005,100,53,USA,3.30E-02,1.22E-02,8.42E-03,1.89E-03,2.56E-03,9.82E-04,4.33E-03,2.18E-02,7.23E-03,4.46E-03,1.49E-03,1.86E-03,6.74E-04,2.49E-03
SCS,1979,2009,55,63,USA,3.76E-02,1.56E-02,1.11E-02,2.18E-03,2.68E-03,1.12E-03,4.75E-03,2.29E-02,8.63E-03,5.55E-03,1.64E-03,1.59E-03,6.59E-04,2.27E-03
MHP,1988,2002,0,64,USA,3.85E-02,1.61E-02,1.14E-02,2.25E-03,2.73E-03,1.15E-03,4.90E-03,2.34E-02,8.91E-03,5.73E-03,1.70E-03,1.62E-03,6.72E-04,2.32E-03
AHS,1993,2009,38,54,USA,3.41E-02,1.31E-02,9.08E-03,1.94E-03,2.57E-03,1.02E-03,4.43E-03,2.20E-02,7.53E-03,4.70E-03,1.51E-03,1.78E-03,6.64E-04,2.42E-03
AHSMOG,1977,1992,65,70,USA,4.18E-02,1.86E-02,1.35E-02,2.47E-03,2.81E-03,1.24E-03,5.13E-03,2.40E-02,9.98E-03,6.60E-03,1.81E-03,1.37E-03,6.52E-04,2.07E-03
MEDICARE,2003,2008,59,77,USA,3.03E-02,1.06E-02,7.22E-03,1.68E-03,2.41E-03,9.15E-04,3.96E-03,2.06E-02,6.35E-03,3.85E-03,1.33E-03,1.84E-03,6.45E-04,2.42E-03
Hong Kong,2000,2011,66,78,Hong Kong,5.18E-02,2.21E-02,6.64E-03,1.31E-02,8.64E-03,7.93E-04,4.19E-03,3.33E-02,1.56E-02,4.72E-03,8.90E-03,5.47E-03,5.43E-04,1.62E-03
