Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,9.14E-04,2.67E-04,1.57E-04,4.85E-05,7.81E-06,1.54E-05,3.41E-05,5.91E-04,1.16E-04,3.69E-05,4.41E-05,4.53E-06,8.17E-06,1.86E-05
Breast ,1980,2005,100,60,Canada,8.64E-04,2.09E-04,1.37E-04,3.32E-05,4.50E-06,1.49E-05,3.13E-05,5.69E-04,8.50E-05,3.03E-05,3.43E-05,2.80E-06,1.21E-05,3.14E-05
2001 CanCHEC,2001,2011,50,53,Canada,6.40E-04,1.48E-04,9.10E-05,2.09E-05,3.54E-06,1.20E-05,1.92E-05,4.91E-04,6.42E-05,2.38E-05,2.16E-05,2.89E-06,9.70E-06,2.26E-05
1991 CanCHEC,1991,2006,50,54,Canada,8.07E-04,1.84E-04,1.17E-04,2.76E-05,4.12E-06,1.39E-05,2.76E-05,5.52E-04,7.81E-05,2.84E-05,2.97E-05,2.94E-06,1.13E-05,3.07E-05
CCHS,2001,2011,54,56,Canada,6.40E-04,1.48E-04,9.10E-05,2.09E-05,3.54E-06,1.20E-05,1.92E-05,4.91E-04,6.42E-05,2.38E-05,2.16E-05,2.89E-06,9.70E-06,2.26E-05
China,1990,2005,0,63,China,1.89E-03,5.33E-04,2.00E-04,2.39E-04,6.55E-05,2.33E-05,8.03E-05,1.31E-03,3.49E-04,9.79E-05,1.53E-04,6.77E-05,1.58E-05,5.26E-05
ESCAPE - DCH,1995,2010,54,65,Denmark,8.98E-04,1.66E-04,8.38E-05,3.82E-05,6.13E-06,1.32E-05,2.36E-05,6.12E-04,8.82E-05,2.27E-05,4.40E-05,6.51E-06,9.49E-06,2.66E-05
English,2003,2007,52,62,England,8.87E-04,2.25E-04,1.18E-04,4.20E-05,6.27E-06,3.06E-05,1.99E-05,6.09E-04,9.24E-05,2.72E-05,3.44E-05,3.71E-06,1.78E-05,1.62E-05
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,8.95E-04,2.43E-04,1.35E-04,4.50E-05,6.32E-06,3.80E-05,2.24E-05,6.34E-04,9.92E-05,2.94E-05,3.90E-05,3.89E-06,1.97E-05,1.70E-05
ESCAPE - FINRISK,1992,2008,54,56,Finland,1.08E-03,3.09E-04,1.46E-04,8.28E-05,3.31E-06,2.75E-05,1.39E-05,5.33E-04,1.06E-04,2.60E-05,5.16E-05,3.38E-06,1.12E-05,1.03E-05
France,1989,2013,27,56,France,1.00E-03,2.14E-04,1.14E-04,5.00E-05,6.39E-06,1.93E-05,6.17E-05,5.75E-04,8.16E-05,2.18E-05,3.48E-05,3.43E-06,9.38E-06,2.46E-05
ESCAPE - E3N,1991,2008,100,62,France,1.05E-03,2.21E-04,1.18E-04,5.21E-05,6.56E-06,1.98E-05,6.45E-05,6.01E-04,8.59E-05,2.31E-05,3.69E-05,3.63E-06,9.75E-06,2.56E-05
ESCAPE - SALIA,1985,2010,38,67,Germany,1.06E-03,2.93E-04,1.72E-04,5.40E-05,6.72E-06,1.94E-05,3.76E-05,6.44E-04,1.21E-04,3.96E-05,4.71E-05,4.41E-06,9.74E-06,2.28E-05
ESCAPE - KORA,1997,2007,51,55,Germany,8.64E-04,2.22E-04,1.21E-04,3.90E-05,5.89E-06,1.68E-05,2.84E-05,5.51E-04,9.83E-05,3.08E-05,3.52E-05,3.74E-06,8.73E-06,2.18E-05
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,8.88E-04,4.05E-04,2.90E-04,6.57E-05,5.14E-06,1.79E-05,5.34E-05,4.83E-04,1.26E-04,5.86E-05,4.03E-05,4.77E-06,7.48E-06,1.89E-05
Rome,2001,2010,50,55,Italy,6.22E-04,1.64E-04,9.45E-05,3.52E-05,6.02E-06,1.10E-05,2.16E-05,4.18E-04,6.04E-05,1.96E-05,2.50E-05,2.74E-06,5.77E-06,1.62E-05
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,8.12E-04,1.88E-04,1.08E-04,4.13E-05,6.43E-06,1.21E-05,2.87E-05,4.93E-04,7.24E-05,2.24E-05,3.12E-05,3.01E-06,6.50E-06,1.77E-05
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,7.71E-04,1.82E-04,1.05E-04,3.97E-05,6.36E-06,1.19E-05,2.70E-05,4.75E-04,6.92E-05,2.16E-05,2.97E-05,2.93E-06,6.35E-06,1.73E-05
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,7.71E-04,1.82E-04,1.05E-04,3.97E-05,6.36E-06,1.19E-05,2.70E-05,4.75E-04,6.92E-05,2.16E-05,2.97E-05,2.93E-06,6.35E-06,1.73E-05
DUELS,2004,2011,52,63,Netherlands,5.26E-04,1.45E-04,8.96E-05,2.51E-05,5.01E-06,1.37E-05,2.57E-05,4.84E-04,8.09E-05,2.73E-05,3.11E-05,5.35E-06,9.36E-06,3.10E-05
Dutch,1987,1996,51,66,Netherlands,8.16E-04,2.57E-04,1.73E-04,4.11E-05,7.25E-06,1.30E-05,3.81E-05,6.53E-04,1.24E-04,4.34E-05,5.43E-05,5.44E-06,9.39E-06,3.59E-05
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,6.43E-04,1.88E-04,1.20E-04,3.23E-05,6.39E-06,1.46E-05,3.08E-05,5.83E-04,1.10E-04,3.90E-05,4.49E-05,6.01E-06,1.07E-05,3.71E-05
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,6.43E-04,1.88E-04,1.20E-04,3.23E-05,6.39E-06,1.46E-05,3.08E-05,5.83E-04,1.10E-04,3.90E-05,4.49E-05,6.01E-06,1.07E-05,3.71E-05
ESCAPE - HUBRO,2000,2010,56,53,Norway,7.47E-04,1.51E-04,9.10E-05,2.75E-05,5.29E-06,7.65E-06,1.42E-05,4.83E-04,5.34E-05,1.91E-05,1.92E-05,3.95E-06,4.38E-06,1.84E-05
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,4.98E-04,1.09E-04,5.18E-05,2.18E-05,3.69E-06,9.70E-06,9.76E-06,3.77E-04,5.25E-05,1.44E-05,2.00E-05,3.38E-06,6.04E-06,1.41E-05
ESCAPE - SALT,2000,2010,56,63,Sweden,5.06E-04,1.12E-04,5.33E-05,2.24E-05,3.73E-06,9.88E-06,9.87E-06,3.83E-04,5.39E-05,1.48E-05,2.07E-05,3.41E-06,6.25E-06,1.43E-05
ESCAPE - Sixty,1997,2010,52,67,Sweden,5.34E-04,1.22E-04,5.92E-05,2.48E-05,3.84E-06,1.06E-05,1.05E-05,3.96E-04,5.73E-05,1.59E-05,2.23E-05,3.35E-06,6.82E-06,1.50E-05
ESCAPE - SDPP,2004,2010,62,50,Sweden,4.78E-04,1.01E-04,4.69E-05,2.01E-05,3.50E-06,9.27E-06,9.39E-06,3.69E-04,4.98E-05,1.37E-05,1.85E-05,3.34E-06,5.69E-06,1.36E-05
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,7.19E-04,1.54E-04,9.58E-05,2.17E-05,4.74E-06,1.17E-05,2.74E-05,4.65E-04,5.81E-05,1.93E-05,1.97E-05,1.89E-06,7.92E-06,1.97E-05
Taipei,1989,2008,43,51,Taiwan,1.80E-03,4.44E-04,2.08E-04,1.41E-04,5.53E-06,3.15E-05,4.47E-05,8.06E-04,1.38E-04,4.03E-05,6.68E-05,3.83E-06,1.37E-05,3.78E-05
AARD,2000,2009,41,71,USA,1.21E-03,3.29E-04,1.72E-04,4.39E-05,9.21E-06,2.80E-05,2.76E-05,8.41E-04,1.67E-04,6.24E-05,3.99E-05,6.98E-06,2.14E-05,2.74E-05
NHIS,1986,2001,44,51,USA,1.69E-03,3.77E-04,2.06E-04,5.59E-05,8.74E-06,4.13E-05,4.47E-05,8.91E-04,1.71E-04,6.06E-05,5.06E-05,5.64E-06,2.58E-05,3.54E-05
ACS,1982,2004,56,66,USA,1.66E-03,3.76E-04,2.06E-04,5.55E-05,8.86E-06,4.08E-05,4.40E-05,8.84E-04,1.71E-04,6.06E-05,4.98E-05,5.72E-06,2.54E-05,3.48E-05
NHS,2000,2006,100,64,USA,1.25E-03,3.36E-04,1.77E-04,4.50E-05,9.35E-06,2.87E-05,2.96E-05,8.57E-04,1.72E-04,6.42E-05,4.19E-05,7.08E-06,2.19E-05,2.94E-05
CTS,2000,2005,100,53,USA,1.26E-03,3.38E-04,1.78E-04,4.53E-05,9.39E-06,2.90E-05,3.04E-05,8.62E-04,1.74E-04,6.48E-05,4.25E-05,7.12E-06,2.21E-05,3.01E-05
SCS,1979,2009,55,63,USA,1.59E-03,3.69E-04,2.01E-04,5.39E-05,8.89E-06,3.92E-05,4.15E-05,8.72E-04,1.68E-04,6.01E-05,4.79E-05,5.82E-06,2.47E-05,3.32E-05
MHP,1988,2002,0,64,USA,1.65E-03,3.71E-04,2.01E-04,5.44E-05,8.78E-06,3.97E-05,4.29E-05,8.93E-04,1.73E-04,6.14E-05,4.99E-05,5.85E-06,2.54E-05,3.51E-05
AHS,1993,2009,38,54,USA,1.40E-03,3.44E-04,1.81E-04,4.77E-05,8.93E-06,3.22E-05,3.34E-05,8.69E-04,1.70E-04,6.22E-05,4.41E-05,6.51E-06,2.31E-05,3.07E-05
AHSMOG,1977,1992,65,70,USA,1.82E-03,4.01E-04,2.25E-04,6.16E-05,8.85E-06,4.76E-05,5.14E-05,8.75E-04,1.66E-04,5.76E-05,5.26E-05,4.97E-06,2.67E-05,3.62E-05
