Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - E3N,1991,2008,100,62,France,1.95E-03,4.54E-04,2.64E-04,9.70E-05,1.45E-05,3.56E-05,2.24E-04,1.02E-03,1.46E-04,4.33E-05,6.07E-05,6.85E-06,1.48E-05,7.48E-05
ESCAPE - SALIA,1985,2010,38,67,Germany,1.91E-03,5.83E-04,3.73E-04,9.41E-05,1.64E-05,2.99E-05,1.20E-04,1.13E-03,2.14E-04,8.23E-05,7.66E-05,1.04E-05,1.38E-05,6.28E-05
ESCAPE - KORA,1997,2007,51,55,Germany,1.71E-03,4.95E-04,3.01E-04,7.67E-05,1.54E-05,2.79E-05,1.02E-04,1.03E-03,1.86E-04,6.88E-05,6.43E-05,9.59E-06,1.32E-05,6.76E-05
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,1.56E-03,7.52E-04,5.58E-04,1.20E-04,1.10E-05,2.59E-05,1.59E-04,8.27E-04,2.16E-04,1.03E-04,7.16E-05,7.77E-06,1.01E-05,4.93E-05
Rome,2001,2010,50,55,Italy,1.12E-03,3.20E-04,2.00E-04,6.25E-05,1.16E-05,1.60E-05,7.13E-05,7.42E-04,1.10E-04,3.88E-05,4.45E-05,5.82E-06,7.70E-06,4.47E-05
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,1.28E-03,3.66E-04,2.29E-04,7.22E-05,1.20E-05,1.66E-05,9.39E-05,8.18E-04,1.27E-04,4.25E-05,5.30E-05,5.81E-06,8.28E-06,4.60E-05
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,1.24E-03,3.54E-04,2.22E-04,6.95E-05,1.19E-05,1.65E-05,8.78E-05,8.02E-04,1.23E-04,4.17E-05,5.12E-05,5.80E-06,8.16E-06,4.61E-05
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,1.24E-03,3.54E-04,2.22E-04,6.95E-05,1.19E-05,1.65E-05,8.78E-05,8.02E-04,1.23E-04,4.17E-05,5.12E-05,5.80E-06,8.16E-06,4.61E-05
DUELS,2004,2011,52,63,Netherlands,9.56E-04,2.87E-04,1.87E-04,4.85E-05,1.18E-05,2.08E-05,7.77E-05,9.14E-04,1.54E-04,6.04E-05,5.81E-05,1.38E-05,1.47E-05,1.06E-04
Dutch,1987,1996,51,66,Netherlands,1.48E-03,5.51E-04,4.04E-04,7.41E-05,1.36E-05,1.74E-05,1.28E-04,1.14E-03,2.22E-04,9.30E-05,8.60E-05,1.21E-05,1.36E-05,8.62E-05
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,1.21E-03,4.02E-04,2.78E-04,6.28E-05,1.38E-05,2.17E-05,1.02E-04,1.07E-03,2.06E-04,8.44E-05,7.97E-05,1.48E-05,1.64E-05,1.12E-04
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,1.21E-03,4.02E-04,2.78E-04,6.28E-05,1.38E-05,2.17E-05,1.02E-04,1.07E-03,2.06E-04,8.44E-05,7.97E-05,1.48E-05,1.64E-05,1.12E-04
ESCAPE - HUBRO,2000,2010,56,53,Norway,1.12E-03,3.05E-04,2.09E-04,4.61E-05,1.01E-05,1.21E-05,4.48E-05,7.91E-04,1.03E-04,4.30E-05,3.90E-05,1.01E-05,6.82E-06,5.07E-05
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,9.07E-04,2.65E-04,1.49E-04,4.96E-05,6.23E-06,1.81E-05,3.18E-05,6.60E-04,9.51E-05,3.31E-05,3.69E-05,5.75E-06,9.17E-06,4.10E-05
ESCAPE - SALT,2000,2010,56,63,Sweden,9.19E-04,2.70E-04,1.53E-04,5.05E-05,6.25E-06,1.85E-05,3.23E-05,6.70E-04,9.80E-05,3.42E-05,3.82E-05,5.85E-06,9.49E-06,4.17E-05
ESCAPE - Sixty,1997,2010,52,67,Sweden,9.59E-04,2.88E-04,1.65E-04,5.38E-05,6.36E-06,1.95E-05,3.39E-05,7.01E-04,1.07E-04,3.73E-05,4.17E-05,5.98E-06,1.06E-05,4.37E-05
ESCAPE - SDPP,2004,2010,62,50,Sweden,8.64E-04,2.48E-04,1.38E-04,4.65E-05,6.06E-06,1.71E-05,2.98E-05,6.38E-04,8.92E-05,3.11E-05,3.43E-05,5.49E-06,8.59E-06,3.94E-05
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,1.19E-03,3.31E-04,2.28E-04,4.22E-05,1.05E-05,1.81E-05,9.71E-05,7.86E-04,1.06E-04,4.11E-05,3.57E-05,4.46E-06,1.03E-05,6.29E-05
Taipei,1989,2008,43,51,Taiwan,2.93E-03,7.22E-04,3.28E-04,2.69E-04,1.25E-05,4.65E-05,9.32E-05,1.25E-03,2.21E-04,6.05E-05,1.19E-04,6.22E-06,1.79E-05,7.98E-05
AARD,2000,2009,41,71,USA,2.11E-03,6.61E-04,3.93E-04,8.39E-05,2.31E-05,4.54E-05,9.25E-05,1.43E-03,3.14E-04,1.34E-04,7.79E-05,1.92E-05,3.34E-05,8.37E-05
NHIS,1986,2001,44,51,USA,2.55E-03,7.70E-04,4.86E-04,9.92E-05,2.05E-05,5.97E-05,1.34E-04,1.42E-03,3.08E-04,1.29E-04,8.61E-05,1.36E-05,3.52E-05,9.37E-05
ACS,1982,2004,56,66,USA,2.51E-03,7.66E-04,4.84E-04,9.82E-05,2.08E-05,5.89E-05,1.32E-04,1.42E-03,3.09E-04,1.30E-04,8.58E-05,1.41E-05,3.50E-05,9.37E-05
NHS,2000,2006,100,64,USA,2.18E-03,6.83E-04,4.10E-04,8.69E-05,2.35E-05,4.68E-05,1.01E-04,1.45E-03,3.23E-04,1.37E-04,8.14E-05,1.91E-05,3.39E-05,8.89E-05
CTS,2000,2005,100,53,USA,2.19E-03,6.89E-04,4.14E-04,8.76E-05,2.35E-05,4.72E-05,1.03E-04,1.46E-03,3.24E-04,1.38E-04,8.22E-05,1.89E-05,3.40E-05,9.04E-05
SCS,1979,2009,55,63,USA,2.44E-03,7.48E-04,4.70E-04,9.56E-05,2.10E-05,5.69E-05,1.25E-04,1.41E-03,3.07E-04,1.30E-04,8.38E-05,1.48E-05,3.46E-05,9.10E-05
MHP,1988,2002,0,64,USA,2.52E-03,7.60E-04,4.76E-04,9.81E-05,2.09E-05,5.82E-05,1.30E-04,1.42E-03,3.10E-04,1.30E-04,8.58E-05,1.42E-05,3.52E-05,9.34E-05
AHS,1993,2009,38,54,USA,2.30E-03,6.99E-04,4.22E-04,9.00E-05,2.21E-05,5.06E-05,1.07E-04,1.43E-03,3.13E-04,1.32E-04,8.10E-05,1.70E-05,3.43E-05,8.71E-05
AHSMOG,1977,1992,65,70,USA,2.60E-03,8.08E-04,5.29E-04,1.02E-04,1.97E-05,6.46E-05,1.48E-04,1.39E-03,3.00E-04,1.27E-04,8.72E-05,1.20E-05,3.50E-05,9.58E-05
MEDICARE,2003,2008,59,77,USA,2.08E-03,6.51E-04,3.85E-04,8.24E-05,2.33E-05,4.44E-05,8.73E-05,1.42E-03,3.12E-04,1.33E-04,7.63E-05,1.96E-05,3.31E-05,8.12E-05
Hong Kong,2000,2011,66,78,Hong Kong,2.82E-03,9.23E-04,3.59E-04,4.64E-04,8.16E-05,2.75E-05,1.67E-04,1.53E-03,4.63E-04,1.41E-04,2.38E-04,5.81E-05,1.41E-05,9.42E-05
