Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,1.82E-03,5.97E-04,3.92E-04,9.98E-05,1.67E-05,2.59E-05,1.24E-04,1.10E-03,2.24E-04,8.66E-05,7.91E-05,9.89E-06,1.25E-05,5.91E-05
Breast ,1980,2005,100,60,Canada,1.42E-03,4.43E-04,3.26E-04,5.73E-05,8.90E-06,2.60E-05,9.67E-05,9.79E-04,1.55E-04,6.72E-05,5.54E-05,6.71E-06,1.78E-05,9.13E-05
2001 CanCHEC,2001,2011,50,53,Canada,1.12E-03,3.12E-04,2.16E-04,3.93E-05,8.19E-06,2.18E-05,6.22E-05,8.44E-04,1.23E-04,5.39E-05,3.93E-05,6.74E-06,1.48E-05,7.10E-05
1991 CanCHEC,1991,2006,50,54,Canada,1.35E-03,3.95E-04,2.84E-04,5.16E-05,8.49E-06,2.51E-05,8.67E-05,9.46E-04,1.46E-04,6.35E-05,5.03E-05,6.73E-06,1.72E-05,8.91E-05
CCHS,2001,2011,54,56,Canada,1.12E-03,3.12E-04,2.16E-04,3.93E-05,8.19E-06,2.18E-05,6.22E-05,8.44E-04,1.23E-04,5.39E-05,3.93E-05,6.74E-06,1.48E-05,7.10E-05
China,1990,2005,0,63,China,3.16E-03,9.57E-04,3.34E-04,4.77E-04,1.34E-04,3.19E-05,1.71E-04,2.02E-03,6.22E-04,1.62E-04,3.12E-04,1.19E-04,1.99E-05,1.05E-04
ESCAPE - DCH,1995,2010,54,65,Denmark,1.69E-03,3.88E-04,2.24E-04,9.04E-05,1.79E-05,2.43E-05,8.11E-05,1.16E-03,1.81E-04,5.41E-05,9.10E-05,1.48E-05,1.56E-05,9.11E-05
English,2003,2007,52,62,England,1.44E-03,4.46E-04,2.74E-04,7.37E-05,1.48E-05,4.60E-05,5.78E-05,1.03E-03,1.71E-04,5.94E-05,6.09E-05,1.06E-05,2.72E-05,4.77E-05
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,1.48E-03,5.01E-04,3.26E-04,7.97E-05,1.48E-05,5.43E-05,6.78E-05,1.08E-03,1.86E-04,6.66E-05,6.94E-05,1.13E-05,2.92E-05,5.18E-05
ESCAPE - FINRISK,1992,2008,54,56,Finland,1.93E-03,6.69E-04,3.74E-04,1.42E-04,9.73E-06,5.10E-05,4.71E-05,9.68E-04,1.97E-04,5.76E-05,9.61E-05,6.73E-06,1.96E-05,2.74E-05
France,1989,2013,27,56,France,1.86E-03,4.31E-04,2.51E-04,9.18E-05,1.40E-05,3.39E-05,2.09E-04,9.88E-04,1.40E-04,4.17E-05,5.74E-05,6.57E-06,1.41E-05,7.24E-05
