Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,3.32E-03,1.12E-03,7.80E-04,1.77E-04,3.95E-05,4.14E-05,3.23E-04,1.88E-03,3.96E-04,1.69E-04,1.31E-04,2.16E-05,1.63E-05,1.27E-04
Breast ,1980,2005,100,60,Canada,2.52E-03,8.93E-04,6.95E-04,9.90E-05,2.51E-05,3.89E-05,2.64E-04,1.72E-03,2.93E-04,1.46E-04,9.33E-05,1.55E-05,2.70E-05,2.13E-04
2001 CanCHEC,2001,2011,50,53,Canada,2.02E-03,6.14E-04,4.54E-04,7.19E-05,1.99E-05,3.33E-05,1.80E-04,1.49E-03,2.17E-04,1.04E-04,6.49E-05,1.61E-05,2.33E-05,1.97E-04
1991 CanCHEC,1991,2006,50,54,Canada,2.33E-03,7.77E-04,5.94E-04,8.79E-05,2.25E-05,3.67E-05,2.29E-04,1.63E-03,2.59E-04,1.26E-04,8.18E-05,1.52E-05,2.56E-05,2.09E-04
CCHS,2001,2011,54,56,Canada,2.02E-03,6.14E-04,4.54E-04,7.19E-05,1.99E-05,3.33E-05,1.80E-04,1.49E-03,2.17E-04,1.04E-04,6.49E-05,1.61E-05,2.33E-05,1.97E-04
China,1990,2005,0,63,China,5.08E-03,1.59E-03,5.06E-04,8.50E-04,2.60E-04,4.66E-05,3.41E-04,3.18E-03,1.10E-03,2.64E-04,5.91E-04,2.21E-04,2.91E-05,1.77E-04
ESCAPE - DCH,1995,2010,54,65,Denmark,3.00E-03,7.57E-04,4.66E-04,1.63E-04,4.97E-05,3.65E-05,2.15E-04,2.10E-03,2.96E-04,1.09E-04,1.28E-04,4.64E-05,2.58E-05,2.46E-04
English,2003,2007,52,62,England,2.43E-03,8.52E-04,5.73E-04,1.26E-04,3.79E-05,7.13E-05,1.58E-04,1.72E-03,3.03E-04,1.20E-04,1.05E-04,2.76E-05,4.24E-05,1.27E-04
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,2.52E-03,9.54E-04,6.72E-04,1.34E-04,3.82E-05,7.97E-05,1.84E-04,1.79E-03,3.25E-04,1.35E-04,1.12E-04,2.79E-05,4.45E-05,1.32E-04
ESCAPE - FINRISK,1992,2008,54,56,Finland,3.36E-03,1.34E-03,8.44E-04,2.40E-04,2.38E-05,7.63E-05,1.42E-04,1.61E-03,3.29E-04,1.18E-04,1.42E-04,1.41E-05,2.80E-05,6.47E-05
France,1989,2013,27,56,France,3.37E-03,7.51E-04,4.54E-04,1.50E-04,3.15E-05,5.38E-05,5.40E-04,1.63E-03,2.22E-04,7.49E-05,8.35E-05,1.39E-05,1.96E-05,1.44E-04
ESCAPE - E3N,1991,2008,100,62,France,3.53E-03,7.92E-04,4.79E-04,1.57E-04,3.29E-05,5.61E-05,5.75E-04,1.67E-03,2.29E-04,7.67E-05,8.69E-05,1.42E-05,2.01E-05,1.41E-04
ESCAPE - SALIA,1985,2010,38,67,Germany,3.40E-03,1.10E-03,7.51E-04,1.63E-04,3.98E-05,4.57E-05,3.24E-04,1.91E-03,3.62E-04,1.59E-04,1.13E-04,2.47E-05,2.01E-05,1.36E-04
ESCAPE - KORA,1997,2007,51,55,Germany,3.15E-03,9.73E-04,6.35E-04,1.39E-04,3.68E-05,4.55E-05,2.96E-04,1.79E-03,3.25E-04,1.38E-04,9.91E-05,2.40E-05,2.04E-05,1.58E-04
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,2.79E-03,1.32E-03,9.93E-04,2.11E-04,2.48E-05,3.24E-05,4.21E-04,1.37E-03,3.66E-04,1.86E-04,1.21E-04,1.40E-05,1.55E-05,9.99E-05
Rome,2001,2010,50,55,Italy,1.97E-03,5.99E-04,3.92E-04,1.08E-04,2.11E-05,2.25E-05,1.96E-04,1.26E-03,1.96E-04,7.50E-05,7.53E-05,1.08E-05,1.04E-05,1.01E-04
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,2.21E-03,6.85E-04,4.50E-04,1.25E-04,2.22E-05,2.25E-05,2.61E-04,1.38E-03,2.26E-04,8.41E-05,8.80E-05,1.10E-05,1.09E-05,9.81E-05
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,2.15E-03,6.63E-04,4.35E-04,1.20E-04,2.19E-05,2.25E-05,2.45E-04,1.35E-03,2.18E-04,8.18E-05,8.48E-05,1.09E-05,1.07E-05,9.91E-05
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,2.15E-03,6.63E-04,4.35E-04,1.20E-04,2.19E-05,2.25E-05,2.45E-04,1.35E-03,2.18E-04,8.18E-05,8.48E-05,1.09E-05,1.07E-05,9.91E-05
DUELS,2004,2011,52,63,Netherlands,1.82E-03,5.56E-04,3.77E-04,9.10E-05,3.06E-05,3.65E-05,2.08E-04,1.68E-03,2.86E-04,1.17E-04,1.10E-04,3.85E-05,2.30E-05,2.70E-04
Dutch,1987,1996,51,66,Netherlands,2.70E-03,1.07E-03,8.11E-04,1.39E-04,3.16E-05,2.82E-05,3.39E-04,1.92E-03,3.78E-04,1.79E-04,1.35E-04,2.96E-05,1.71E-05,1.77E-04
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,2.23E-03,7.71E-04,5.47E-04,1.19E-04,3.28E-05,3.73E-05,2.66E-04,1.88E-03,3.54E-04,1.55E-04,1.35E-04,3.81E-05,2.33E-05,2.57E-04
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,2.23E-03,7.71E-04,5.47E-04,1.19E-04,3.28E-05,3.73E-05,2.66E-04,1.88E-03,3.54E-04,1.55E-04,1.35E-04,3.81E-05,2.33E-05,2.57E-04
ESCAPE - HUBRO,2000,2010,56,53,Norway,1.94E-03,5.99E-04,4.37E-04,8.38E-05,2.50E-05,1.84E-05,1.49E-04,1.41E-03,1.86E-04,8.59E-05,6.49E-05,2.82E-05,1.12E-05,1.25E-04
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,1.68E-03,5.62E-04,3.57E-04,9.54E-05,1.44E-05,3.40E-05,8.68E-05,1.26E-03,1.98E-04,8.41E-05,6.96E-05,1.38E-05,1.47E-05,1.09E-04
ESCAPE - SALT,2000,2010,56,63,Sweden,1.70E-03,5.74E-04,3.66E-04,9.75E-05,1.46E-05,3.47E-05,8.90E-05,1.27E-03,2.03E-04,8.64E-05,7.15E-05,1.41E-05,1.52E-05,1.10E-04
ESCAPE - Sixty,1997,2010,52,67,Sweden,1.76E-03,6.07E-04,3.90E-04,1.03E-04,1.50E-05,3.66E-05,9.46E-05,1.31E-03,2.12E-04,9.02E-05,7.61E-05,1.43E-05,1.64E-05,1.14E-04
ESCAPE - SDPP,2004,2010,62,50,Sweden,1.60E-03,5.27E-04,3.33E-04,8.97E-05,1.38E-05,3.19E-05,8.01E-05,1.20E-03,1.83E-04,7.78E-05,6.39E-05,1.27E-05,1.36E-05,1.03E-04
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,2.06E-03,6.10E-04,4.35E-04,7.70E-05,2.34E-05,2.63E-05,2.55E-04,1.35E-03,1.88E-04,8.58E-05,5.87E-05,1.34E-05,1.44E-05,1.42E-04
Taipei,1989,2008,43,51,Taiwan,4.49E-03,1.12E-03,5.08E-04,4.49E-04,2.32E-05,6.99E-05,1.93E-04,2.02E-03,3.80E-04,9.61E-05,2.16E-04,1.19E-05,2.82E-05,1.38E-04
AARD,2000,2009,41,71,USA,3.58E-03,1.22E-03,7.89E-04,1.50E-04,5.89E-05,7.06E-05,2.53E-04,2.29E-03,5.27E-04,2.54E-04,1.21E-04,4.86E-05,4.81E-05,1.95E-04
NHIS,1986,2001,44,51,USA,3.96E-03,1.45E-03,9.99E-04,1.70E-04,5.16E-05,8.37E-05,3.48E-04,2.31E-03,5.54E-04,2.71E-04,1.36E-04,3.69E-05,4.83E-05,2.20E-04
ACS,1982,2004,56,66,USA,3.94E-03,1.45E-03,9.97E-04,1.69E-04,5.26E-05,8.32E-05,3.47E-04,2.32E-03,5.57E-04,2.73E-04,1.37E-04,3.82E-05,4.85E-05,2.21E-04
NHS,2000,2006,100,64,USA,3.66E-03,1.26E-03,8.21E-04,1.55E-04,5.90E-05,7.21E-05,2.68E-04,2.30E-03,5.35E-04,2.58E-04,1.25E-04,4.65E-05,4.80E-05,1.98E-04
CTS,2000,2005,100,53,USA,3.68E-03,1.27E-03,8.30E-04,1.56E-04,5.88E-05,7.26E-05,2.72E-04,2.29E-03,5.36E-04,2.58E-04,1.25E-04,4.57E-05,4.79E-05,1.99E-04
SCS,1979,2009,55,63,USA,3.88E-03,1.42E-03,9.67E-04,1.66E-04,5.35E-05,8.14E-05,3.33E-04,2.32E-03,5.53E-04,2.71E-04,1.34E-04,4.03E-05,4.86E-05,2.18E-04
MHP,1988,2002,0,64,USA,3.93E-03,1.43E-03,9.73E-04,1.68E-04,5.21E-05,8.23E-05,3.37E-04,2.30E-03,5.49E-04,2.68E-04,1.34E-04,3.75E-05,4.82E-05,2.15E-04
AHS,1993,2009,38,54,USA,3.71E-03,1.29E-03,8.51E-04,1.57E-04,5.55E-05,7.51E-05,2.81E-04,2.28E-03,5.31E-04,2.56E-04,1.25E-04,4.34E-05,4.79E-05,2.00E-04
AHSMOG,1977,1992,65,70,USA,4.09E-03,1.57E-03,1.11E-03,1.77E-04,5.12E-05,8.90E-05,3.97E-04,2.37E-03,5.81E-04,2.89E-04,1.45E-04,3.66E-05,4.95E-05,2.39E-04
MEDICARE,2003,2008,59,77,USA,3.55E-03,1.20E-03,7.72E-04,1.48E-04,5.97E-05,6.96E-05,2.46E-04,2.29E-03,5.25E-04,2.53E-04,1.20E-04,5.03E-05,4.83E-05,1.95E-04
Hong Kong,2000,2011,66,78,Hong Kong,4.41E-03,1.48E-03,5.47E-04,7.79E-04,1.54E-04,3.97E-05,3.34E-04,2.42E-03,8.18E-04,2.38E-04,4.45E-04,1.07E-04,2.06E-05,1.62E-04
