Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,5.67E-03,1.96E-03,1.39E-03,2.98E-04,9.40E-05,6.11E-05,6.64E-04,2.94E-03,6.35E-04,3.06E-04,1.81E-04,4.76E-05,2.29E-05,2.18E-04
Breast ,1980,2005,100,60,Canada,4.51E-03,1.68E-03,1.33E-03,1.72E-04,6.67E-05,6.97E-05,6.18E-04,2.88E-03,5.44E-04,3.11E-04,1.44E-04,4.44E-05,4.34E-05,4.09E-04
2001 CanCHEC,2001,2011,50,53,Canada,3.58E-03,1.11E-03,8.44E-04,1.24E-04,5.15E-05,6.20E-05,4.27E-04,2.45E-03,3.69E-04,2.01E-04,9.71E-05,4.22E-05,4.05E-05,3.79E-04
1991 CanCHEC,1991,2006,50,54,Canada,4.12E-03,1.43E-03,1.12E-03,1.52E-04,5.83E-05,6.65E-05,5.38E-04,2.72E-03,4.72E-04,2.63E-04,1.26E-04,4.32E-05,4.18E-05,4.00E-04
CCHS,2001,2011,54,56,Canada,3.58E-03,1.11E-03,8.44E-04,1.24E-04,5.15E-05,6.20E-05,4.27E-04,2.45E-03,3.69E-04,2.01E-04,9.71E-05,4.22E-05,4.05E-05,3.79E-04
China,1990,2005,0,63,China,8.03E-03,2.66E-03,7.72E-04,1.52E-03,5.96E-04,7.36E-05,6.37E-04,5.12E-03,1.92E-03,4.31E-04,1.11E-03,4.57E-04,4.99E-05,2.88E-04
ESCAPE - DCH,1995,2010,54,65,Denmark,5.20E-03,1.41E-03,8.98E-04,2.99E-04,1.25E-04,6.75E-05,5.09E-04,3.54E-03,4.86E-04,2.11E-04,1.85E-04,1.35E-04,3.80E-05,5.03E-04
English,2003,2007,52,62,England,4.10E-03,1.46E-03,1.02E-03,2.02E-04,1.04E-04,1.16E-04,3.77E-04,2.79E-03,4.84E-04,2.12E-04,1.55E-04,8.10E-05,7.14E-05,2.69E-04
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,4.33E-03,1.69E-03,1.23E-03,2.20E-04,1.05E-04,1.23E-04,4.30E-04,2.94E-03,5.52E-04,2.58E-04,1.73E-04,8.16E-05,7.47E-05,2.73E-04
ESCAPE - FINRISK,1992,2008,54,56,Finland,5.52E-03,2.40E-03,1.64E-03,3.65E-04,7.05E-05,1.19E-04,3.68E-04,2.57E-03,5.57E-04,2.33E-04,2.19E-04,3.65E-05,4.37E-05,1.38E-04
