Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
France,1989,2013,27,56,France,5.59E-03,1.21E-03,7.29E-04,2.36E-04,6.97E-05,8.85E-05,1.03E-03,2.46E-03,3.35E-04,1.21E-04,1.21E-04,2.69E-05,3.18E-05,2.13E-04
ESCAPE - E3N,1991,2008,100,62,France,5.70E-03,1.24E-03,7.49E-04,2.42E-04,7.07E-05,8.95E-05,1.05E-03,2.48E-03,3.40E-04,1.22E-04,1.23E-04,2.66E-05,3.15E-05,1.97E-04
ESCAPE - SALIA,1985,2010,38,67,Germany,5.80E-03,1.95E-03,1.36E-03,2.75E-04,1.02E-04,7.89E-05,6.97E-04,2.98E-03,5.89E-04,2.85E-04,1.65E-04,5.26E-05,3.50E-05,2.34E-04
ESCAPE - KORA,1997,2007,51,55,Germany,5.26E-03,1.66E-03,1.11E-03,2.27E-04,9.31E-05,8.29E-05,6.26E-04,2.82E-03,5.20E-04,2.41E-04,1.44E-04,5.37E-05,3.86E-05,2.74E-04
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,4.70E-03,2.10E-03,1.57E-03,3.41E-04,4.92E-05,5.66E-05,8.41E-04,2.13E-03,5.67E-04,3.04E-04,1.76E-04,2.64E-05,2.49E-05,1.69E-04
Rome,2001,2010,50,55,Italy,3.43E-03,1.02E-03,6.73E-04,1.75E-04,4.43E-05,3.71E-05,4.60E-04,2.05E-03,3.27E-04,1.33E-04,1.14E-04,2.21E-05,1.79E-05,1.82E-04
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,3.91E-03,1.17E-03,7.73E-04,2.05E-04,4.84E-05,3.65E-05,5.90E-04,2.21E-03,3.74E-04,1.50E-04,1.32E-04,2.20E-05,1.71E-05,1.73E-04
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,3.79E-03,1.13E-03,7.47E-04,1.97E-04,4.71E-05,3.66E-05,5.61E-04,2.17E-03,3.62E-04,1.45E-04,1.27E-04,2.19E-05,1.72E-05,1.76E-04
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,3.79E-03,1.13E-03,7.47E-04,1.97E-04,4.71E-05,3.66E-05,5.61E-04,2.17E-03,3.62E-04,1.45E-04,1.27E-04,2.19E-05,1.72E-05,1.76E-04
DUELS,2004,2011,52,63,Netherlands,3.39E-03,9.91E-04,6.66E-04,1.69E-04,6.62E-05,6.89E-05,5.18E-04,2.84E-03,4.28E-04,1.86E-04,1.51E-04,9.57E-05,4.45E-05,5.21E-04
Dutch,1987,1996,51,66,Netherlands,4.83E-03,1.92E-03,1.47E-03,2.37E-04,7.73E-05,4.76E-05,7.80E-04,3.00E-03,5.99E-04,3.09E-04,1.87E-04,6.40E-05,2.68E-05,2.86E-04
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,4.01E-03,1.35E-03,9.66E-04,2.06E-04,6.87E-05,6.66E-05,6.17E-04,2.99E-03,5.13E-04,2.41E-04,1.76E-04,8.42E-05,4.14E-05,4.42E-04
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,4.01E-03,1.35E-03,9.66E-04,2.06E-04,6.87E-05,6.66E-05,6.17E-04,2.99E-03,5.13E-04,2.41E-04,1.76E-04,8.42E-05,4.14E-05,4.42E-04
ESCAPE - HUBRO,2000,2010,56,53,Norway,3.45E-03,1.15E-03,8.47E-04,1.54E-04,7.62E-05,3.97E-05,3.57E-04,2.43E-03,3.47E-04,1.69E-04,1.18E-04,7.73E-05,2.42E-05,3.00E-04
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,3.08E-03,1.08E-03,7.26E-04,1.68E-04,3.92E-05,5.45E-05,2.14E-04,2.20E-03,3.62E-04,1.66E-04,1.22E-04,4.02E-05,2.90E-05,2.38E-04
ESCAPE - SALT,2000,2010,56,63,Sweden,3.10E-03,1.10E-03,7.40E-04,1.71E-04,3.93E-05,5.54E-05,2.18E-04,2.22E-03,3.69E-04,1.69E-04,1.25E-04,4.10E-05,2.96E-05,2.41E-04
ESCAPE - Sixty,1997,2010,52,67,Sweden,3.21E-03,1.16E-03,7.88E-04,1.79E-04,3.98E-05,5.84E-05,2.30E-04,2.27E-03,3.84E-04,1.76E-04,1.31E-04,4.19E-05,3.09E-05,2.46E-04
ESCAPE - SDPP,2004,2010,62,50,Sweden,3.00E-03,1.03E-03,6.93E-04,1.59E-04,3.92E-05,5.23E-05,2.04E-04,2.14E-03,3.41E-04,1.57E-04,1.13E-04,3.82E-05,2.76E-05,2.31E-04
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,3.59E-03,1.06E-03,7.59E-04,1.31E-04,6.03E-05,4.06E-05,5.46E-04,2.18E-03,3.12E-04,1.50E-04,9.46E-05,3.17E-05,2.29E-05,2.49E-04
Taipei,1989,2008,43,51,Taiwan,6.74E-03,1.74E-03,7.73E-04,7.28E-04,4.78E-05,1.12E-04,3.84E-04,3.18E-03,6.19E-04,1.70E-04,3.51E-04,2.25E-05,4.92E-05,2.28E-04
AARD,2000,2009,41,71,USA,5.68E-03,2.02E-03,1.39E-03,2.41E-04,1.40E-04,1.31E-04,5.55E-04,3.49E-03,8.38E-04,4.52E-04,1.78E-04,1.15E-04,9.12E-05,3.67E-04
NHIS,1986,2001,44,51,USA,6.29E-03,2.51E-03,1.81E-03,2.66E-04,1.33E-04,1.29E-04,7.77E-04,3.80E-03,9.95E-04,5.51E-04,2.12E-04,1.06E-04,8.07E-05,4.53E-04
ACS,1982,2004,56,66,USA,6.29E-03,2.50E-03,1.81E-03,2.66E-04,1.35E-04,1.30E-04,7.72E-04,3.80E-03,9.91E-04,5.50E-04,2.11E-04,1.07E-04,8.16E-05,4.49E-04
NHS,2000,2006,100,64,USA,5.73E-03,2.07E-03,1.43E-03,2.44E-04,1.37E-04,1.31E-04,5.75E-04,3.50E-03,8.54E-04,4.61E-04,1.82E-04,1.11E-04,8.97E-05,3.72E-04
CTS,2000,2005,100,53,USA,5.72E-03,2.08E-03,1.44E-03,2.44E-04,1.36E-04,1.31E-04,5.81E-04,3.50E-03,8.59E-04,4.65E-04,1.83E-04,1.10E-04,8.90E-05,3.74E-04
SCS,1979,2009,55,63,USA,6.23E-03,2.44E-03,1.75E-03,2.63E-04,1.37E-04,1.31E-04,7.44E-04,3.76E-03,9.71E-04,5.37E-04,2.06E-04,1.09E-04,8.34E-05,4.39E-04
MHP,1988,2002,0,64,USA,6.19E-03,2.45E-03,1.76E-03,2.62E-04,1.33E-04,1.29E-04,7.49E-04,3.76E-03,9.75E-04,5.38E-04,2.08E-04,1.06E-04,8.14E-05,4.42E-04
AHS,1993,2009,38,54,USA,5.85E-03,2.17E-03,1.52E-03,2.48E-04,1.35E-04,1.29E-04,6.24E-04,3.58E-03,8.86E-04,4.81E-04,1.89E-04,1.10E-04,8.69E-05,3.95E-04
AHSMOG,1977,1992,65,70,USA,6.70E-03,2.77E-03,2.04E-03,2.81E-04,1.39E-04,1.33E-04,8.91E-04,3.99E-03,1.07E-03,6.06E-04,2.27E-04,1.08E-04,7.92E-05,4.92E-04
MEDICARE,2003,2008,59,77,USA,5.70E-03,2.01E-03,1.37E-03,2.41E-04,1.43E-04,1.33E-04,5.44E-04,3.47E-03,8.24E-04,4.43E-04,1.75E-04,1.16E-04,9.24E-05,3.61E-04
Hong Kong,2000,2011,66,78,Hong Kong,7.28E-03,2.53E-03,8.83E-04,1.40E-03,3.60E-04,6.51E-05,6.77E-04,4.15E-03,1.54E-03,4.12E-04,8.96E-04,2.34E-04,3.71E-05,2.85E-04
