Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,3.35E-04,6.42E-05,2.44E-05,1.41E-05,2.45E-06,7.11E-06,3.33E-06,1.97E-04,3.73E-05,8.94E-06,1.23E-05,2.13E-06,4.67E-06,2.70E-06
Breast ,1980,2005,100,60,Canada,3.27E-04,4.83E-05,2.04E-05,1.10E-05,1.51E-06,7.74E-06,3.48E-06,2.07E-04,3.01E-05,6.72E-06,1.17E-05,1.50E-06,6.27E-06,3.17E-06
2001 CanCHEC,2001,2011,50,53,Canada,2.68E-04,3.98E-05,1.64E-05,7.71E-06,1.31E-06,5.62E-06,2.38E-06,1.91E-04,2.35E-05,5.42E-06,7.19E-06,1.57E-06,4.79E-06,3.01E-06
1991 CanCHEC,1991,2006,50,54,Canada,3.08E-04,4.44E-05,1.84E-05,9.22E-06,1.39E-06,6.92E-06,3.19E-06,2.03E-04,2.77E-05,6.22E-06,9.77E-06,1.60E-06,5.68E-06,3.15E-06
CCHS,2001,2011,54,56,Canada,2.68E-04,3.98E-05,1.64E-05,7.71E-06,1.31E-06,5.62E-06,2.38E-06,1.91E-04,2.35E-05,5.42E-06,7.19E-06,1.57E-06,4.79E-06,3.01E-06
China,1990,2005,0,63,China,8.22E-04,2.14E-04,7.59E-05,8.86E-05,2.77E-05,1.95E-05,1.88E-05,7.28E-04,1.65E-04,4.83E-05,5.58E-05,3.10E-05,1.83E-05,1.32E-05
ESCAPE - DCH,1995,2010,54,65,Denmark,3.33E-04,3.45E-05,9.45E-06,9.52E-06,1.19E-06,5.10E-06,2.44E-06,2.00E-04,2.15E-05,3.62E-06,9.60E-06,1.35E-06,4.15E-06,2.98E-06
English,2003,2007,52,62,England,3.94E-04,5.64E-05,1.63E-05,1.31E-05,1.71E-06,1.09E-05,2.40E-06,2.37E-04,2.99E-05,4.52E-06,1.13E-05,1.56E-06,8.23E-06,2.21E-06
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,4.04E-04,6.08E-05,1.77E-05,1.52E-05,1.92E-06,1.45E-05,2.73E-06,2.42E-04,3.30E-05,5.13E-06,1.32E-05,1.50E-06,9.41E-06,2.13E-06
ESCAPE - FINRISK,1992,2008,54,56,Finland,3.71E-04,5.80E-05,1.72E-05,2.02E-05,1.24E-06,9.61E-06,1.95E-06,1.86E-04,2.76E-05,4.68E-06,1.27E-05,7.49E-07,4.76E-06,2.30E-06
France,1989,2013,27,56,France,3.43E-04,5.25E-05,1.64E-05,1.63E-05,2.41E-06,7.77E-06,3.96E-06,1.98E-04,3.08E-05,5.82E-06,1.22E-05,1.55E-06,5.08E-06,2.07E-06
ESCAPE - E3N,1991,2008,100,62,France,3.50E-04,5.40E-05,1.67E-05,1.70E-05,2.50E-06,7.90E-06,4.10E-06,2.04E-04,3.20E-05,5.98E-06,1.29E-05,1.65E-06,5.30E-06,2.06E-06
ESCAPE - SALIA,1985,2010,38,67,Germany,3.66E-04,7.47E-05,2.95E-05,2.02E-05,2.43E-06,8.38E-06,3.42E-06,2.11E-04,4.17E-05,9.85E-06,1.59E-05,1.91E-06,5.28E-06,2.48E-06
ESCAPE - KORA,1997,2007,51,55,Germany,3.09E-04,5.57E-05,1.91E-05,1.29E-05,1.98E-06,7.60E-06,2.50E-06,1.79E-04,3.43E-05,7.38E-06,1.11E-05,1.47E-06,4.78E-06,2.23E-06
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,4.48E-04,1.29E-04,7.28E-05,2.82E-05,3.22E-06,1.02E-05,8.98E-06,2.04E-04,5.07E-05,1.89E-05,1.76E-05,2.18E-06,5.86E-06,3.92E-06
Rome,2001,2010,50,55,Italy,2.50E-04,5.24E-05,2.29E-05,1.18E-05,2.53E-06,5.94E-06,2.88E-06,1.48E-04,2.17E-05,4.77E-06,8.74E-06,1.50E-06,3.40E-06,3.11E-06
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,3.45E-04,6.01E-05,2.48E-05,1.43E-05,2.72E-06,6.77E-06,3.22E-06,1.90E-04,2.72E-05,5.86E-06,1.15E-05,1.62E-06,4.17E-06,3.18E-06
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,3.11E-04,5.85E-05,2.44E-05,1.37E-05,2.67E-06,6.55E-06,3.14E-06,1.76E-04,2.59E-05,5.63E-06,1.09E-05,1.58E-06,3.99E-06,3.19E-06
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,3.11E-04,5.85E-05,2.44E-05,1.37E-05,2.67E-06,6.55E-06,3.14E-06,1.76E-04,2.59E-05,5.63E-06,1.09E-05,1.58E-06,3.99E-06,3.19E-06
