Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
DUELS,2004,2011,52,63,Netherlands,1.95E-04,3.31E-05,1.15E-05,9.18E-06,1.86E-06,5.65E-06,1.78E-06,1.60E-04,2.29E-05,4.98E-06,8.96E-06,1.80E-06,4.64E-06,3.52E-06
Dutch,1987,1996,51,66,Netherlands,2.80E-04,5.38E-05,1.93E-05,1.58E-05,2.63E-06,5.49E-06,2.46E-06,2.22E-04,4.22E-05,9.52E-06,2.03E-05,1.80E-06,5.30E-06,2.60E-06
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,2.30E-04,4.33E-05,1.56E-05,1.22E-05,2.42E-06,6.10E-06,2.08E-06,1.94E-04,3.40E-05,7.91E-06,1.47E-05,1.99E-06,5.48E-06,3.32E-06
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,2.30E-04,4.33E-05,1.56E-05,1.22E-05,2.42E-06,6.10E-06,2.08E-06,1.94E-04,3.40E-05,7.91E-06,1.47E-05,1.99E-06,5.48E-06,3.32E-06
ESCAPE - HUBRO,2000,2010,56,53,Norway,4.57E-04,3.36E-05,1.06E-05,8.40E-06,1.39E-06,4.58E-06,2.61E-06,2.20E-04,1.88E-05,4.84E-06,6.35E-06,1.21E-06,3.37E-06,2.60E-06
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,2.93E-04,3.64E-05,8.30E-06,7.82E-06,1.45E-06,5.95E-06,2.18E-06,1.45E-04,1.75E-05,3.30E-06,6.34E-06,1.36E-06,3.05E-06,3.21E-06
ESCAPE - SALT,2000,2010,56,63,Sweden,2.92E-04,3.67E-05,8.43E-06,7.93E-06,1.44E-06,6.01E-06,2.18E-06,1.45E-04,1.77E-05,3.34E-06,6.43E-06,1.34E-06,3.08E-06,3.17E-06
ESCAPE - Sixty,1997,2010,52,67,Sweden,2.85E-04,3.74E-05,8.78E-06,8.24E-06,1.37E-06,6.19E-06,2.13E-06,1.45E-04,1.82E-05,3.48E-06,6.73E-06,1.26E-06,3.21E-06,3.07E-06
ESCAPE - SDPP,2004,2010,62,50,Sweden,3.02E-04,3.64E-05,8.17E-06,7.74E-06,1.52E-06,5.88E-06,2.26E-06,1.45E-04,1.69E-05,3.12E-06,6.09E-06,1.39E-06,2.94E-06,3.25E-06
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,3.72E-04,4.10E-05,1.83E-05,7.02E-06,2.64E-06,5.83E-06,3.06E-06,2.07E-04,2.22E-05,6.79E-06,5.81E-06,9.48E-07,4.94E-06,2.17E-06
Taipei,1989,2008,43,51,Taiwan,5.62E-04,1.55E-04,6.60E-05,3.78E-05,1.85E-06,1.50E-05,8.25E-06,3.40E-04,6.74E-05,2.25E-05,2.44E-05,1.81E-06,1.08E-05,7.30E-06
AARD,2000,2009,41,71,USA,4.98E-04,9.25E-05,3.28E-05,1.37E-05,2.61E-06,1.30E-05,3.69E-06,3.23E-04,5.35E-05,1.34E-05,1.21E-05,1.91E-06,1.00E-05,2.65E-06
NHIS,1986,2001,44,51,USA,5.83E-04,8.54E-05,2.87E-05,1.58E-05,2.48E-06,1.58E-05,4.18E-06,3.30E-04,5.44E-05,1.23E-05,1.55E-05,1.70E-06,1.20E-05,2.90E-06
ACS,1982,2004,56,66,USA,5.81E-04,8.69E-05,2.94E-05,1.59E-05,2.52E-06,1.58E-05,4.20E-06,3.29E-04,5.46E-05,1.24E-05,1.55E-05,1.71E-06,1.20E-05,2.92E-06
NHS,2000,2006,100,64,USA,4.80E-04,9.18E-05,3.23E-05,1.39E-05,2.54E-06,1.29E-05,3.69E-06,3.18E-04,5.39E-05,1.33E-05,1.23E-05,1.88E-06,9.88E-06,2.68E-06
CTS,2000,2005,100,53,USA,4.71E-04,9.08E-05,3.19E-05,1.39E-05,2.49E-06,1.29E-05,3.65E-06,3.15E-04,5.40E-05,1.33E-05,1.24E-05,1.88E-06,9.84E-06,2.68E-06
SCS,1979,2009,55,63,USA,5.80E-04,8.85E-05,3.02E-05,1.58E-05,2.58E-06,1.56E-05,4.17E-06,3.30E-04,5.44E-05,1.25E-05,1.51E-05,1.74E-06,1.18E-05,2.89E-06
MHP,1988,2002,0,64,USA,5.66E-04,8.53E-05,2.87E-05,1.54E-05,2.44E-06,1.53E-05,4.07E-06,3.28E-04,5.42E-05,1.24E-05,1.50E-05,1.72E-06,1.16E-05,2.86E-06
AHS,1993,2009,38,54,USA,5.19E-04,8.84E-05,3.05E-05,1.40E-05,2.50E-06,1.37E-05,3.79E-06,3.25E-04,5.35E-05,1.30E-05,1.30E-05,1.83E-06,1.05E-05,2.70E-06
AHSMOG,1977,1992,65,70,USA,6.53E-04,8.86E-05,2.99E-05,1.79E-05,2.69E-06,1.80E-05,4.65E-06,3.37E-04,5.57E-05,1.20E-05,1.77E-05,1.63E-06,1.35E-05,3.12E-06
MEDICARE,2003,2008,59,77,USA,5.15E-04,9.50E-05,3.39E-05,1.38E-05,2.71E-06,1.31E-05,3.73E-06,3.26E-04,5.32E-05,1.34E-05,1.19E-05,1.89E-06,1.00E-05,2.66E-06
Hong Kong,2000,2011,66,78,Hong Kong,6.38E-04,1.71E-04,6.97E-05,6.85E-05,1.44E-05,1.46E-05,1.51E-05,4.72E-04,1.04E-04,3.55E-05,3.73E-05,1.41E-05,1.13E-05,9.94E-06
