Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,5.16E-04,1.23E-04,6.28E-05,2.47E-05,3.64E-06,9.72E-06,9.79E-06,3.38E-04,6.75E-05,1.88E-05,2.46E-05,2.60E-06,6.06E-06,6.78E-06
Breast ,1980,2005,100,60,Canada,5.39E-04,9.30E-05,4.96E-05,1.92E-05,2.31E-06,1.10E-05,1.02E-05,3.32E-04,5.01E-05,1.49E-05,2.09E-05,1.90E-06,8.67E-06,9.80E-06
2001 CanCHEC,2001,2011,50,53,Canada,3.93E-04,6.99E-05,3.57E-05,1.21E-05,1.93E-06,8.44E-06,6.79E-06,2.93E-04,3.90E-05,1.19E-05,1.32E-05,1.87E-06,6.40E-06,6.93E-06
1991 CanCHEC,1991,2006,50,54,Canada,5.06E-04,8.22E-05,4.24E-05,1.58E-05,2.15E-06,1.03E-05,9.35E-06,3.18E-04,4.53E-05,1.35E-05,1.75E-05,1.90E-06,7.82E-06,8.91E-06
CCHS,2001,2011,54,56,Canada,3.93E-04,6.99E-05,3.57E-05,1.21E-05,1.93E-06,8.44E-06,6.79E-06,2.93E-04,3.90E-05,1.19E-05,1.32E-05,1.87E-06,6.40E-06,6.93E-06
China,1990,2005,0,63,China,1.28E-03,3.40E-04,1.29E-04,1.46E-04,4.54E-05,2.08E-05,4.22E-05,9.21E-04,2.17E-04,6.57E-05,8.06E-05,4.48E-05,1.60E-05,2.66E-05
ESCAPE - DCH,1995,2010,54,65,Denmark,5.25E-04,7.57E-05,2.78E-05,2.07E-05,2.88E-06,9.18E-06,6.89E-06,3.20E-04,4.06E-05,8.81E-06,1.88E-05,2.19E-06,5.71E-06,9.59E-06
English,2003,2007,52,62,England,5.86E-04,1.13E-04,4.57E-05,2.43E-05,2.99E-06,1.88E-05,7.19E-06,3.73E-04,5.28E-05,1.19E-05,1.93E-05,2.42E-06,1.14E-05,6.33E-06
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,5.87E-04,1.17E-04,4.92E-05,2.64E-05,3.34E-06,2.53E-05,7.87E-06,3.84E-04,5.66E-05,1.31E-05,2.18E-05,2.47E-06,1.30E-05,6.26E-06
ESCAPE - FINRISK,1992,2008,54,56,Finland,5.92E-04,1.23E-04,4.64E-05,3.77E-05,1.61E-06,1.49E-05,4.86E-06,2.99E-04,5.29E-05,1.23E-05,2.41E-05,1.98E-06,6.50E-06,4.91E-06
