Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
France,1989,2013,27,56,France,5.84E-04,1.00E-04,4.27E-05,2.79E-05,3.31E-06,1.27E-05,1.41E-05,3.31E-04,4.89E-05,1.11E-05,2.03E-05,2.21E-06,6.53E-06,7.12E-06
ESCAPE - E3N,1991,2008,100,62,France,6.14E-04,1.03E-04,4.35E-05,2.91E-05,3.35E-06,1.30E-05,1.43E-05,3.46E-04,5.11E-05,1.15E-05,2.15E-05,2.32E-06,6.82E-06,7.26E-06
ESCAPE - SALIA,1985,2010,38,67,Germany,6.03E-04,1.41E-04,7.06E-05,3.08E-05,3.42E-06,1.21E-05,1.11E-05,3.60E-04,6.84E-05,1.91E-05,2.69E-05,2.78E-06,6.54E-06,7.06E-06
ESCAPE - KORA,1997,2007,51,55,Germany,4.72E-04,1.00E-04,4.57E-05,1.96E-05,2.88E-06,1.04E-05,7.95E-06,2.94E-04,5.36E-05,1.39E-05,1.87E-05,2.19E-06,5.54E-06,5.97E-06
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,5.89E-04,2.16E-04,1.39E-04,4.19E-05,3.63E-06,1.34E-05,1.98E-05,3.08E-04,7.98E-05,3.24E-05,2.63E-05,3.35E-06,5.85E-06,8.91E-06
Rome,2001,2010,50,55,Italy,3.67E-04,8.58E-05,4.45E-05,1.92E-05,3.29E-06,7.63E-06,8.50E-06,2.38E-04,3.68E-05,1.04E-05,1.48E-05,2.26E-06,4.65E-06,6.21E-06
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,5.78E-04,9.97E-05,5.00E-05,2.36E-05,3.63E-06,8.72E-06,1.01E-05,3.13E-04,4.45E-05,1.21E-05,1.87E-05,2.42E-06,5.29E-06,6.71E-06
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,5.14E-04,9.67E-05,4.88E-05,2.25E-05,3.56E-06,8.46E-06,9.66E-06,2.94E-04,4.26E-05,1.17E-05,1.77E-05,2.37E-06,5.13E-06,6.58E-06
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,5.14E-04,9.67E-05,4.88E-05,2.25E-05,3.56E-06,8.46E-06,9.66E-06,2.94E-04,4.26E-05,1.17E-05,1.77E-05,2.37E-06,5.13E-06,6.58E-06
DUELS,2004,2011,52,63,Netherlands,3.07E-04,6.54E-05,3.28E-05,1.36E-05,2.71E-06,8.78E-06,6.56E-06,2.77E-04,4.59E-05,1.26E-05,1.77E-05,3.17E-06,7.43E-06,9.72E-06
Dutch,1987,1996,51,66,Netherlands,4.77E-04,1.15E-04,6.16E-05,2.50E-05,3.93E-06,8.12E-06,8.86E-06,3.76E-04,7.37E-05,2.22E-05,3.30E-05,2.88E-06,7.00E-06,9.57E-06
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,3.72E-04,8.51E-05,4.46E-05,1.76E-05,3.50E-06,9.48E-06,7.63E-06,3.25E-04,6.06E-05,1.79E-05,2.50E-05,3.32E-06,7.92E-06,1.02E-05
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,3.72E-04,8.51E-05,4.46E-05,1.76E-05,3.50E-06,9.48E-06,7.63E-06,3.25E-04,6.06E-05,1.79E-05,2.50E-05,3.32E-06,7.92E-06,1.02E-05
ESCAPE - HUBRO,2000,2010,56,53,Norway,5.40E-04,6.56E-05,3.19E-05,1.40E-05,2.36E-06,4.67E-06,5.78E-06,2.99E-04,2.89E-05,8.77E-06,1.11E-05,2.05E-06,3.61E-06,6.23E-06
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,3.26E-04,5.17E-05,1.87E-05,1.09E-05,2.41E-06,7.39E-06,4.03E-06,2.16E-04,2.79E-05,6.44E-06,1.09E-05,1.76E-06,3.50E-06,6.11E-06
ESCAPE - SALT,2000,2010,56,63,Sweden,3.28E-04,5.27E-05,1.92E-05,1.12E-05,2.43E-06,7.53E-06,4.04E-06,2.16E-04,2.80E-05,6.48E-06,1.09E-05,1.74E-06,3.53E-06,6.09E-06
ESCAPE - Sixty,1997,2010,52,67,Sweden,3.34E-04,5.58E-05,2.07E-05,1.21E-05,2.46E-06,7.94E-06,4.12E-06,2.21E-04,2.99E-05,7.00E-06,1.18E-05,1.70E-06,3.82E-06,6.24E-06
ESCAPE - SDPP,2004,2010,62,50,Sweden,3.23E-04,4.91E-05,1.76E-05,1.03E-05,2.37E-06,7.11E-06,4.01E-06,2.12E-04,2.69E-05,6.16E-06,1.04E-05,1.75E-06,3.35E-06,5.95E-06
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,5.18E-04,7.41E-05,4.07E-05,1.17E-05,3.11E-06,7.76E-06,8.13E-06,3.24E-04,3.69E-05,1.13E-05,1.28E-05,1.23E-06,5.72E-06,6.50E-06
Taipei,1989,2008,43,51,Taiwan,1.04E-03,2.72E-04,1.24E-04,7.66E-05,3.58E-06,2.20E-05,2.10E-05,5.15E-04,9.13E-05,2.90E-05,3.87E-05,2.42E-06,1.17E-05,1.83E-05
AARD,2000,2009,41,71,USA,7.42E-04,1.70E-04,7.52E-05,2.36E-05,4.33E-06,1.90E-05,9.18E-06,5.05E-04,9.25E-05,2.94E-05,2.18E-05,3.20E-06,1.39E-05,8.37E-06
NHIS,1986,2001,44,51,USA,1.07E-03,1.75E-04,7.75E-05,2.92E-05,4.02E-06,2.70E-05,1.36E-05,5.48E-04,9.61E-05,2.84E-05,2.88E-05,2.78E-06,1.76E-05,1.11E-05
ACS,1982,2004,56,66,USA,1.05E-03,1.77E-04,7.83E-05,2.92E-05,4.09E-06,2.68E-05,1.35E-05,5.43E-04,9.59E-05,2.84E-05,2.85E-05,2.80E-06,1.75E-05,1.09E-05
NHS,2000,2006,100,64,USA,7.39E-04,1.70E-04,7.54E-05,2.38E-05,4.28E-06,1.92E-05,9.45E-06,5.05E-04,9.37E-05,2.97E-05,2.24E-05,3.17E-06,1.39E-05,8.72E-06
CTS,2000,2005,100,53,USA,7.37E-04,1.69E-04,7.50E-05,2.38E-05,4.23E-06,1.92E-05,9.53E-06,5.05E-04,9.42E-05,2.99E-05,2.27E-05,3.17E-06,1.39E-05,8.85E-06
SCS,1979,2009,55,63,USA,1.01E-03,1.77E-04,7.84E-05,2.87E-05,4.16E-06,2.60E-05,1.30E-05,5.38E-04,9.51E-05,2.84E-05,2.76E-05,2.85E-06,1.71E-05,1.05E-05
MHP,1988,2002,0,64,USA,1.04E-03,1.74E-04,7.65E-05,2.83E-05,4.02E-06,2.59E-05,1.31E-05,5.45E-04,9.60E-05,2.87E-05,2.80E-05,2.83E-06,1.71E-05,1.08E-05
AHS,1993,2009,38,54,USA,8.69E-04,1.70E-04,7.47E-05,2.51E-05,4.16E-06,2.14E-05,1.06E-05,5.24E-04,9.39E-05,2.92E-05,2.41E-05,3.06E-06,1.51E-05,9.36E-06
AHSMOG,1977,1992,65,70,USA,1.18E-03,1.85E-04,8.30E-05,3.31E-05,4.17E-06,3.17E-05,1.58E-05,5.54E-04,9.66E-05,2.74E-05,3.20E-05,2.60E-06,1.96E-05,1.18E-05
MEDICARE,2003,2008,59,77,USA,7.39E-04,1.72E-04,7.62E-05,2.35E-05,4.44E-06,1.87E-05,8.93E-06,5.02E-04,9.12E-05,2.91E-05,2.11E-05,3.17E-06,1.37E-05,8.00E-06
Hong Kong,2000,2011,66,78,Hong Kong,1.06E-03,2.94E-04,1.26E-04,1.25E-04,2.53E-05,1.69E-05,3.67E-05,6.39E-04,1.47E-04,5.19E-05,5.77E-05,2.05E-05,1.06E-05,2.13E-05
