Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,2.46E-02,1.08E-02,7.27E-03,1.94E-03,9.24E-04,2.38E-04,2.74E-03,1.17E-02,4.49E-03,2.49E-03,1.08E-03,3.04E-04,1.06E-04,5.86E-04
Breast ,1980,2005,100,60,Canada,2.23E-02,8.66E-03,6.51E-03,1.13E-03,1.09E-03,4.06E-04,3.33E-03,1.21E-02,3.71E-03,2.46E-03,7.21E-04,5.43E-04,2.24E-04,1.45E-03
2001 CanCHEC,2001,2011,50,53,Canada,1.63E-02,4.97E-03,3.58E-03,7.11E-04,7.26E-04,2.78E-04,2.57E-03,1.00E-02,2.21E-03,1.35E-03,4.80E-04,5.30E-04,1.79E-04,1.63E-03
1991 CanCHEC,1991,2006,50,54,Canada,2.03E-02,7.31E-03,5.41E-03,9.91E-04,9.66E-04,3.60E-04,3.09E-03,1.15E-02,3.18E-03,2.04E-03,6.45E-04,5.64E-04,2.10E-04,1.56E-03
CCHS,2001,2011,54,56,Canada,1.63E-02,4.97E-03,3.58E-03,7.11E-04,7.26E-04,2.78E-04,2.57E-03,1.00E-02,2.21E-03,1.35E-03,4.80E-04,5.30E-04,1.79E-04,1.63E-03
China,1990,2005,0,63,China,3.56E-02,1.39E-02,3.53E-03,8.30E-03,6.02E-03,4.17E-04,2.82E-03,2.33E-02,9.96E-03,2.34E-03,5.80E-03,4.10E-03,3.02E-04,1.10E-03
ESCAPE - DCH,1995,2010,54,65,Denmark,2.29E-02,7.85E-03,5.00E-03,1.61E-03,1.55E-03,3.83E-04,3.06E-03,1.53E-02,3.63E-03,1.94E-03,1.07E-03,1.69E-03,2.43E-04,2.10E-03
English,2003,2007,52,62,England,1.84E-02,6.59E-03,4.41E-03,1.04E-03,1.13E-03,5.42E-04,2.30E-03,1.14E-02,3.00E-03,1.60E-03,7.40E-04,8.30E-04,3.56E-04,1.31E-03
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,2.13E-02,8.57E-03,5.96E-03,1.29E-03,1.30E-03,6.41E-04,2.68E-03,1.27E-02,3.95E-03,2.27E-03,9.30E-04,8.96E-04,4.23E-04,1.37E-03
ESCAPE - FINRISK,1992,2008,54,56,Finland,2.27E-02,1.13E-02,8.07E-03,1.82E-03,9.03E-04,5.21E-04,2.47E-03,9.93E-03,3.82E-03,2.24E-03,1.04E-03,2.38E-04,1.92E-04,5.17E-04
France,1989,2013,27,56,France,1.91E-02,5.18E-03,2.85E-03,1.12E-03,5.90E-04,3.90E-04,2.84E-03,7.84E-03,1.85E-03,8.07E-04,5.47E-04,1.90E-04,1.45E-04,4.30E-04
ESCAPE - E3N,1991,2008,100,62,France,1.97E-02,5.42E-03,2.98E-03,1.17E-03,6.22E-04,4.04E-04,2.90E-03,8.00E-03,1.93E-03,8.42E-04,5.69E-04,1.98E-04,1.50E-04,4.11E-04
ESCAPE - SALIA,1985,2010,38,67,Germany,2.45E-02,1.02E-02,7.07E-03,1.73E-03,1.11E-03,4.02E-04,3.03E-03,1.19E-02,4.30E-03,2.51E-03,9.87E-04,3.94E-04,1.84E-04,6.31E-04
ESCAPE - KORA,1997,2007,51,55,Germany,2.18E-02,8.36E-03,5.54E-03,1.40E-03,9.33E-04,4.28E-04,2.79E-03,1.04E-02,3.37E-03,1.88E-03,7.48E-04,3.65E-04,1.88E-04,6.58E-04
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,1.87E-02,7.88E-03,5.05E-03,2.04E-03,4.21E-04,3.18E-04,3.30E-03,8.98E-03,3.74E-03,1.87E-03,1.38E-03,2.20E-04,1.64E-04,4.66E-04
Rome,2001,2010,50,55,Italy,1.62E-02,4.89E-03,2.86E-03,1.06E-03,5.24E-04,1.88E-04,2.61E-03,7.96E-03,2.07E-03,9.50E-04,5.96E-04,1.80E-04,8.78E-05,5.21E-04
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,1.90E-02,6.06E-03,3.58E-03,1.34E-03,6.43E-04,1.90E-04,3.12E-03,8.93E-03,2.58E-03,1.18E-03,7.62E-04,1.94E-04,8.52E-05,5.29E-04
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,1.83E-02,5.76E-03,3.39E-03,1.26E-03,6.08E-04,1.89E-04,3.00E-03,8.68E-03,2.44E-03,1.12E-03,7.15E-04,1.90E-04,8.54E-05,5.27E-04
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,1.83E-02,5.76E-03,3.39E-03,1.26E-03,6.08E-04,1.89E-04,3.00E-03,8.68E-03,2.44E-03,1.12E-03,7.15E-04,1.90E-04,8.54E-05,5.27E-04
DUELS,2004,2011,52,63,Netherlands,1.68E-02,4.98E-03,2.98E-03,9.50E-04,8.53E-04,4.62E-04,2.97E-03,9.82E-03,2.12E-03,1.03E-03,5.83E-04,6.25E-04,2.50E-04,1.38E-03
Dutch,1987,1996,51,66,Netherlands,2.67E-02,1.12E-02,7.77E-03,1.74E-03,1.56E-03,3.49E-04,4.81E-03,1.23E-02,4.32E-03,2.57E-03,1.05E-03,5.43E-04,1.76E-04,7.81E-04
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,2.11E-02,7.52E-03,4.82E-03,1.34E-03,1.17E-03,4.71E-04,3.75E-03,1.11E-02,3.09E-03,1.67E-03,8.10E-04,6.55E-04,2.52E-04,1.20E-03
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,2.11E-02,7.52E-03,4.82E-03,1.34E-03,1.17E-03,4.71E-04,3.75E-03,1.11E-02,3.09E-03,1.67E-03,8.10E-04,6.55E-04,2.52E-04,1.20E-03
ESCAPE - HUBRO,2000,2010,56,53,Norway,1.70E-02,6.07E-03,4.03E-03,1.08E-03,9.25E-04,2.95E-04,2.18E-03,9.61E-03,2.27E-03,1.21E-03,6.15E-04,7.47E-04,1.61E-04,1.20E-03
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,1.56E-02,6.23E-03,4.15E-03,1.05E-03,4.86E-04,2.42E-04,1.41E-03,9.60E-03,2.50E-03,1.40E-03,6.33E-04,5.13E-04,1.26E-04,1.05E-03
ESCAPE - SALT,2000,2010,56,63,Sweden,1.58E-02,6.38E-03,4.26E-03,1.07E-03,4.91E-04,2.44E-04,1.42E-03,9.67E-03,2.56E-03,1.43E-03,6.49E-04,5.13E-04,1.27E-04,1.04E-03
ESCAPE - Sixty,1997,2010,52,67,Sweden,1.64E-02,6.90E-03,4.65E-03,1.16E-03,5.06E-04,2.49E-04,1.47E-03,9.81E-03,2.72E-03,1.54E-03,6.85E-04,5.02E-04,1.29E-04,9.96E-04
ESCAPE - SDPP,2004,2010,62,50,Sweden,1.50E-02,5.78E-03,3.82E-03,9.68E-04,4.67E-04,2.35E-04,1.37E-03,9.39E-03,2.32E-03,1.29E-03,5.83E-04,5.11E-04,1.23E-04,1.08E-03
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,1.73E-02,5.82E-03,3.94E-03,8.88E-04,7.85E-04,2.49E-04,2.59E-03,8.43E-03,2.08E-03,1.16E-03,4.93E-04,2.97E-04,1.20E-04,7.27E-04
Taipei,1989,2008,43,51,Taiwan,2.31E-02,6.89E-03,2.87E-03,3.12E-03,4.85E-04,6.44E-04,2.24E-03,1.45E-02,4.05E-03,1.34E-03,2.12E-03,1.91E-04,3.80E-04,8.87E-04
AARD,2000,2009,41,71,USA,2.02E-02,7.12E-03,4.98E-03,9.75E-04,1.36E-03,5.26E-04,2.95E-03,1.33E-02,3.83E-03,2.37E-03,7.32E-04,1.09E-03,3.70E-04,1.80E-03
NHIS,1986,2001,44,51,USA,2.56E-02,1.05E-02,7.68E-03,1.24E-03,1.56E-03,6.08E-04,3.82E-03,1.51E-02,5.24E-03,3.41E-03,9.08E-04,9.82E-04,3.58E-04,1.84E-03
ACS,1982,2004,56,66,USA,2.53E-02,1.04E-02,7.56E-03,1.23E-03,1.54E-03,6.05E-04,3.77E-03,1.50E-02,5.18E-03,3.37E-03,9.01E-04,9.80E-04,3.59E-04,1.83E-03
NHS,2000,2006,100,64,USA,2.09E-02,7.53E-03,5.30E-03,1.02E-03,1.40E-03,5.37E-04,3.08E-03,1.37E-02,4.07E-03,2.54E-03,7.72E-04,1.10E-03,3.76E-04,1.85E-03
CTS,2000,2005,100,53,USA,2.12E-02,7.68E-03,5.42E-03,1.03E-03,1.41E-03,5.41E-04,3.13E-03,1.39E-02,4.16E-03,2.60E-03,7.86E-04,1.11E-03,3.78E-04,1.86E-03
SCS,1979,2009,55,63,USA,2.45E-02,9.89E-03,7.17E-03,1.19E-03,1.51E-03,5.93E-04,3.63E-03,1.47E-02,4.95E-03,3.20E-03,8.68E-04,9.83E-04,3.57E-04,1.81E-03
MHP,1988,2002,0,64,USA,2.50E-02,1.02E-02,7.39E-03,1.21E-03,1.54E-03,6.00E-04,3.75E-03,1.50E-02,5.11E-03,3.31E-03,8.93E-04,1.01E-03,3.61E-04,1.86E-03
AHS,1993,2009,38,54,USA,2.21E-02,8.28E-03,5.88E-03,1.07E-03,1.43E-03,5.54E-04,3.27E-03,1.40E-02,4.32E-03,2.72E-03,7.93E-04,1.07E-03,3.67E-04,1.84E-03
AHSMOG,1977,1992,65,70,USA,2.74E-02,1.19E-02,8.75E-03,1.33E-03,1.60E-03,6.40E-04,4.05E-03,1.55E-02,5.72E-03,3.79E-03,9.60E-04,8.81E-04,3.46E-04,1.76E-03
MEDICARE,2003,2008,59,77,USA,1.96E-02,6.77E-03,4.71E-03,9.40E-04,1.33E-03,5.18E-04,2.84E-03,1.30E-02,3.63E-03,2.24E-03,7.02E-04,1.08E-03,3.66E-04,1.77E-03
Hong Kong,2000,2011,66,78,Hong Kong,3.10E-02,1.27E-02,3.91E-03,7.46E-03,3.89E-03,3.62E-04,2.94E-03,1.90E-02,8.51E-03,2.55E-03,4.87E-03,2.38E-03,2.34E-04,1.11E-03
