Study,Start Time,End Time, % female,age,country,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer,Natural,CV,IHD,Stroke,COPD,Pneumonia,Lung Cancer
ESCAPE - VHM&PP,1985,2005,56,52,Austria,1.54E-02,6.18E-03,4.32E-03,9.90E-04,4.60E-04,1.29E-04,1.91E-03,6.96E-03,2.12E-03,1.17E-03,4.94E-04,1.60E-04,5.49E-05,4.37E-04
Breast ,1980,2005,100,60,Canada,1.37E-02,5.21E-03,4.05E-03,5.80E-04,4.72E-04,2.13E-04,2.20E-03,7.54E-03,1.95E-03,1.28E-03,3.83E-04,2.72E-04,1.23E-04,1.05E-03
2001 CanCHEC,2001,2011,50,53,Canada,1.00E-02,3.05E-03,2.28E-03,3.75E-04,3.17E-04,1.57E-04,1.61E-03,6.27E-03,1.18E-03,7.16E-04,2.53E-04,2.50E-04,1.05E-04,1.10E-03
1991 CanCHEC,1991,2006,50,54,Canada,1.23E-02,4.35E-03,3.32E-03,5.06E-04,4.08E-04,1.89E-04,1.98E-03,7.16E-03,1.67E-03,1.06E-03,3.41E-04,2.73E-04,1.17E-04,1.10E-03
CCHS,2001,2011,54,56,Canada,1.00E-02,3.05E-03,2.28E-03,3.75E-04,3.17E-04,1.57E-04,1.61E-03,6.27E-03,1.18E-03,7.16E-04,2.53E-04,2.50E-04,1.05E-04,1.10E-03
China,1990,2005,0,63,China,2.22E-02,8.12E-03,2.11E-03,4.85E-03,3.06E-03,2.29E-04,1.87E-03,1.41E-02,5.68E-03,1.41E-03,3.23E-03,2.06E-03,1.57E-04,7.48E-04
ESCAPE - DCH,1995,2010,54,65,Denmark,1.40E-02,4.48E-03,2.88E-03,9.07E-04,6.98E-04,2.05E-04,1.85E-03,9.31E-03,1.77E-03,9.33E-04,5.28E-04,8.14E-04,1.29E-04,1.38E-03
English,2003,2007,52,62,England,1.12E-02,3.96E-03,2.76E-03,5.54E-04,5.77E-04,3.05E-04,1.42E-03,6.97E-03,1.52E-03,7.99E-04,3.80E-04,4.20E-04,1.93E-04,8.37E-04
ESCAPE - EPIC-Oxford,1993,2010,78,54,England,1.26E-02,4.98E-03,3.60E-03,6.64E-04,6.28E-04,3.36E-04,1.59E-03,7.66E-03,1.98E-03,1.13E-03,4.67E-04,4.40E-04,2.19E-04,8.51E-04
ESCAPE - FINRISK,1992,2008,54,56,Finland,1.41E-02,6.85E-03,4.98E-03,1.00E-03,4.28E-04,2.70E-04,1.47E-03,5.99E-03,1.85E-03,1.04E-03,5.25E-04,1.43E-04,9.57E-05,3.65E-04
France,1989,2013,27,56,France,1.29E-02,3.12E-03,1.79E-03,6.28E-04,3.10E-04,2.32E-04,2.23E-03,5.14E-03,9.47E-04,4.04E-04,2.80E-04,9.63E-05,8.18E-05,3.37E-04
ESCAPE - E3N,1991,2008,100,62,France,1.31E-02,3.21E-03,1.84E-03,6.45E-04,3.18E-04,2.37E-04,2.24E-03,5.18E-03,9.73E-04,4.16E-04,2.87E-04,9.84E-05,8.35E-05,3.14E-04
ESCAPE - SALIA,1985,2010,38,67,Germany,1.55E-02,5.97E-03,4.21E-03,9.04E-04,5.55E-04,2.26E-04,2.09E-03,7.28E-03,2.11E-03,1.23E-03,4.63E-04,2.10E-04,9.86E-05,4.83E-04
ESCAPE - KORA,1997,2007,51,55,Germany,1.34E-02,4.69E-03,3.15E-03,7.09E-04,4.52E-04,2.38E-04,1.85E-03,6.40E-03,1.62E-03,8.89E-04,3.49E-04,1.93E-04,1.00E-04,5.12E-04
ESCAPE - EPIC-Athens,1993,2010,55,57,Greece,1.17E-02,4.93E-03,3.41E-03,1.05E-03,2.03E-04,1.67E-04,2.24E-03,5.12E-03,1.80E-03,9.81E-04,5.74E-04,9.94E-05,7.63E-05,3.41E-04
Rome,2001,2010,50,55,Italy,9.93E-03,2.87E-03,1.78E-03,5.47E-04,2.29E-04,9.93E-05,1.67E-03,4.93E-03,1.03E-03,4.81E-04,2.91E-04,8.89E-05,5.02E-05,3.80E-04
ESCAPE - EPIC-Turin,1993,2010,48,58,Italy,1.14E-02,3.45E-03,2.15E-03,6.72E-04,2.71E-04,9.80E-05,1.98E-03,5.41E-03,1.25E-03,5.78E-04,3.60E-04,9.02E-05,4.89E-05,3.70E-04
ESCAPE - SIDRIA-Rome,1995,2010,53,52,Italy,1.10E-02,3.29E-03,2.05E-03,6.34E-04,2.57E-04,9.78E-05,1.90E-03,5.28E-03,1.19E-03,5.52E-04,3.39E-04,8.91E-05,4.90E-05,3.71E-04
ESCAPE - SIDRIA-Turin,1995,2010,52,52,Italy,1.10E-02,3.29E-03,2.05E-03,6.34E-04,2.57E-04,9.78E-05,1.90E-03,5.28E-03,1.19E-03,5.52E-04,3.39E-04,8.91E-05,4.90E-05,3.71E-04
DUELS,2004,2011,52,63,Netherlands,9.98E-03,2.85E-03,1.81E-03,4.96E-04,3.80E-04,2.33E-04,1.77E-03,6.43E-03,1.12E-03,5.50E-04,3.20E-04,3.47E-04,1.32E-04,1.06E-03
Dutch,1987,1996,51,66,Netherlands,1.56E-02,6.41E-03,4.70E-03,8.58E-04,6.36E-04,1.56E-04,2.99E-03,7.68E-03,2.22E-03,1.34E-03,5.18E-04,2.94E-04,8.53E-05,6.52E-04
ESCAPE - EPIC-MORGEN,1993,2010,54,52,Netherlands,1.23E-02,4.21E-03,2.85E-03,6.73E-04,4.85E-04,2.28E-04,2.23E-03,7.02E-03,1.57E-03,8.57E-04,4.20E-04,3.41E-04,1.25E-04,9.13E-04
ESCAPE - EPIC-PROSPECT,1993,2010,100,60,Netherlands,1.23E-02,4.21E-03,2.85E-03,6.73E-04,4.85E-04,2.28E-04,2.23E-03,7.02E-03,1.57E-03,8.57E-04,4.20E-04,3.41E-04,1.25E-04,9.13E-04
ESCAPE - HUBRO,2000,2010,56,53,Norway,9.91E-03,3.37E-03,2.35E-03,5.29E-04,4.19E-04,1.32E-04,1.36E-03,6.22E-03,1.15E-03,6.37E-04,3.00E-04,3.91E-04,8.14E-05,8.64E-04
ESCAPE - SNAC-K,2001,2010,60,75,Sweden,9.06E-03,3.43E-03,2.36E-03,5.15E-04,2.20E-04,1.35E-04,8.60E-04,5.93E-03,1.25E-03,6.95E-04,3.15E-04,2.50E-04,6.98E-05,7.57E-04
ESCAPE - SALT,2000,2010,56,63,Sweden,9.17E-03,3.51E-03,2.41E-03,5.27E-04,2.22E-04,1.36E-04,8.68E-04,5.97E-03,1.28E-03,7.14E-04,3.23E-04,2.51E-04,7.09E-05,7.52E-04
ESCAPE - Sixty,1997,2010,52,67,Sweden,9.55E-03,3.79E-03,2.62E-03,5.69E-04,2.30E-04,1.40E-04,8.96E-04,6.06E-03,1.36E-03,7.64E-04,3.42E-04,2.50E-04,7.34E-05,7.29E-04
ESCAPE - SDPP,2004,2010,62,50,Sweden,8.77E-03,3.24E-03,2.21E-03,4.83E-04,2.15E-04,1.31E-04,8.36E-04,5.84E-03,1.18E-03,6.54E-04,2.97E-04,2.48E-04,6.76E-05,7.77E-04
ESCAPE - SAPALDIA,1991,2010,52,51,Switzerland,1.04E-02,3.23E-03,2.24E-03,4.45E-04,3.65E-04,1.31E-04,1.66E-03,5.29E-03,1.02E-03,5.63E-04,2.39E-04,1.57E-04,6.99E-05,5.39E-04
Taipei,1989,2008,43,51,Taiwan,1.51E-02,4.18E-03,1.82E-03,1.84E-03,2.41E-04,3.32E-04,1.33E-03,8.42E-03,1.99E-03,6.34E-04,1.06E-03,9.37E-05,1.77E-04,5.74E-04
AARD,2000,2009,41,71,USA,1.33E-02,4.75E-03,3.37E-03,5.88E-04,6.93E-04,3.17E-04,1.88E-03,8.55E-03,2.31E-03,1.42E-03,4.26E-04,5.61E-04,2.29E-04,1.17E-03
NHIS,1986,2001,44,51,USA,1.66E-02,6.79E-03,5.00E-03,7.23E-04,7.95E-04,3.48E-04,2.60E-03,9.90E-03,3.11E-03,2.00E-03,5.27E-04,5.43E-04,2.14E-04,1.33E-03
ACS,1982,2004,56,66,USA,1.65E-02,6.71E-03,4.94E-03,7.17E-04,7.90E-04,3.48E-04,2.57E-03,9.83E-03,3.07E-03,1.97E-03,5.22E-04,5.41E-04,2.15E-04,1.31E-03
NHS,2000,2006,100,64,USA,1.37E-02,4.98E-03,3.56E-03,6.10E-04,7.08E-04,3.20E-04,1.97E-03,8.83E-03,2.44E-03,1.51E-03,4.48E-04,5.74E-04,2.32E-04,1.22E-03
CTS,2000,2005,100,53,USA,1.38E-02,5.06E-03,3.62E-03,6.18E-04,7.13E-04,3.21E-04,2.01E-03,8.92E-03,2.49E-03,1.55E-03,4.55E-04,5.79E-04,2.33E-04,1.23E-03
SCS,1979,2009,55,63,USA,1.60E-02,6.42E-03,4.71E-03,6.95E-04,7.75E-04,3.44E-04,2.46E-03,9.59E-03,2.94E-03,1.88E-03,5.04E-04,5.38E-04,2.16E-04,1.28E-03
MHP,1988,2002,0,64,USA,1.63E-02,6.57E-03,4.82E-03,7.10E-04,7.84E-04,3.44E-04,2.53E-03,9.79E-03,3.04E-03,1.94E-03,5.19E-04,5.51E-04,2.17E-04,1.32E-03
AHS,1993,2009,38,54,USA,1.44E-02,5.43E-03,3.91E-03,6.36E-04,7.28E-04,3.26E-04,2.13E-03,9.06E-03,2.59E-03,1.62E-03,4.63E-04,5.62E-04,2.25E-04,1.24E-03
AHSMOG,1977,1992,65,70,USA,1.79E-02,7.63E-03,5.70E-03,7.68E-04,8.33E-04,3.66E-04,2.85E-03,1.02E-02,3.37E-03,2.20E-03,5.55E-04,5.07E-04,2.04E-04,1.32E-03
MEDICARE,2003,2008,59,77,USA,1.30E-02,4.56E-03,3.23E-03,5.72E-04,6.84E-04,3.15E-04,1.81E-03,8.36E-03,2.21E-03,1.35E-03,4.11E-04,5.55E-04,2.28E-04,1.14E-03
Hong Kong,2000,2011,66,78,Hong Kong,1.88E-02,7.18E-03,2.26E-03,4.20E-03,1.82E-03,1.91E-04,1.88E-03,1.12E-02,4.67E-03,1.37E-03,2.66E-03,1.12E-03,1.16E-04,7.29E-04
